
"Day 3 · Day 3 · Week 22 · Hyrox Training · Deload","2024-10-31 4:47 pm","1:05 hr"
"1. Sled Push · Misc · 40 cm · Superset 1"
#,KG,MTRS
1,152,21
2,152,21
3,152,21
4,137,21
"2. Sled pull · Misc · Superset 2"
#,KG,MTRS
1,152,7
2,152,7
3,137,7
4,137,7
"3. Walking Lunges · Barbell · 10 reps"
#,KG,REPS
1,25,40
2,25,40
3,25,40
4,25,40
"4. Cycling on Stationary Bike · Machine"
#,KM,MINS
1,5,10:20

"Day 4 · Day 5 · Week 22 · Hyrox Training · Deload","2024-10-30 4:53 pm","1:27 hr"
"1. Incline Bench Press · Barbell · 10 reps · 1 dropset"
#,KG,REPS
1,75,5
2,70,6
3,70,6
"2. Dips · Bodyweight · 10 reps"
#,KG,REPS
1,+25,8
2,+25,8
3,+15,11
4,+0,20
"3. Flys · Cable · 10 reps"
#,KG,REPS
1,13.75,10
2,13.75,8
3,13.75,6
"4. Triceps Pushdowns · Cable · 10 reps · Superset 1"
#,KG,REPS
1,28.75,9
2,28.75,9
3,30,8
"5. Lean Away Lateral Raises · Cable · 10 reps · Superset 2"
#,KG,REPS
1,8.75,6
2,8.75,6
3,7.5,8
"6. Burpees · Bodyweight · 10 reps · Superset 1"
#,REPS,MINS
1,5,1
2,5,1
3,5,1
"7. Wall Balls · Misc · 10 reps · Superset 2"
#,KG,REPS
1,6,10
2,6,10
3,6,10
"8. Cycling on Stationary Bike · Machine"
#,KM,MINS
1,10,19:53

"Day 2 · Day 1 · Week 22 · Hyrox Training · Deload","2024-10-29 5:16 pm","50 min"
"1. Pull-Ups with Wide Overhand Grip · Bodyweight · 10 reps"
#,KG,REPS
1,+10,8
2,+10,7
3,+0,10
"2. Rows with Close Grip · Cable · 10 reps"
#,KG,REPS
1,90,6
2,90,6
3,80,8
"3. Preacher Curls · EZ bar · 10 reps"
#,KG,REPS
1,37.5,8
2,37.5,5
3,35,6
"4. Rowing Machine · Machine · 4 min"
#,KM,MINS
1,0.5,1:44
2,0.5,1:42
"5. Cycling on Stationary Bike · Machine · 30 min"
#,KM,MINS
1,5,10

"Day 6 · Day 6 · Week 21 · Hyrox Training · Deload","2024-10-27 1:17 pm","1:53 hr"
"1. Cycling on Stationary Bike · Machine · 1 cm · 5 min"
#,KM,MINS
1,3,6
"2. SkiErg · Machine · 1 cm · 5 min"
#,KM,MINS
1,1,4:10
"3. Cycling on Stationary Bike · Machine · 1 cm · 5 min"
#,KM,MINS
1,3.1,6:40
"4. Walking Sandbag Lunges · Misc · 10 reps"
#,KG,REPS
1,25,60
"5. Cycling on Stationary Bike · Machine · 1 cm · 5 min"
#,KM,MINS
1,2.8,6
"6. Rowing Machine · Machine"
#,KM,MINS
1,0.6,2:20
"7. Cycling on Stationary Bike · Machine · 1 cm · 5 min"
#,KM,MINS
1,2.75,6
"8. Box Jumps · Misc · 10 reps"
#,REPS
1,20
"9. Cycling on Stationary Bike · Machine · 1 cm · 5 min"
#,KM,MINS
1,3,6:30
"10. Farmer's Walk · Dumbbells · 200 cm"
#,KG,MTRS
1,25,100
"11. Cycling on Stationary Bike · Machine · 1 cm · 5 min"
#,KM,MINS
1,3,6:30
"12. Wall Balls · Misc · 100 reps"
#,KG,REPS
1,6,60

"Day 4 · Day 5 · Week 21 · Hyrox Training · Deload","2024-10-26 9:00 am","20 min"
"1. Running · Bodyweight"
#,KM,MINS
1,4.2,19:30

"Day 1 · Day 2 · Week 21 · Hyrox Training · Deload","2024-10-23 5:41 pm","1:31 hr"
"1. Bench Press · Barbell · 6 reps"
#,KG,REPS
1,90,5
2,80,8
3,80,6
"2. Standing Shoulder Press · Barbell · 10 reps"
#,KG,REPS
1,45,5
2,45,4
3,45,4
"3. Dips · Bodyweight · 10 reps"
#,KG,REPS
1,+30,5
2,+30,5
3,+15,12
4,+0,17
"4. Triceps Pushdowns · Cable · 10 reps · Superset 1"
#,KG,REPS
1,28.75,10
2,28.75,9
3,28.75,9
"5. Lean Away Lateral Raises · Cable · 10 reps · Superset 2"
#,KG,REPS
1,7.5,7
2,7.5,7
3,7.5,8
"6. Cycling on Stationary Bike · Machine"
#,KM,MINS
1,10,20:07

"Day 2 · Day 1 · Week 21 · Hyrox Training · Deload","2024-10-21 4:55 pm","1:12 hr"
"1. Pull-Ups with Wide Overhand Grip · Bodyweight · 10 reps"
#,KG,REPS
1,+10,8
2,+10,7
3,+0,9
"2. Rows with Close Grip · Cable · 10 reps"
#,KG,REPS
1,90,7
2,90,6
3,80,7
4,80,6
"3. Behind-the-Back Curls · Cable · 10 reps"
#,KG,REPS
1,12.5,9
2,12.5,8
3,12.5,7
"4. Shrugs · Cable · 10 reps"
#,KG,REPS
1,47.5,15
2,47.5,12
3,47.5,12
"5. Cycling on Stationary Bike · Machine · 30 min"
#,KM,MINS
1,10,20:09

"Day 4 · Day 5 · Week 20 · Hyrox Training · Deload","2024-10-20 4:15 pm","31 min"
"1. Running · Bodyweight"
#,KM,MINS
1,7.08,30:31

"Day 3 · Day 3 · Week 20 · Hyrox Training · Deload","2024-10-18 6:04 pm","59 min"
"1. SkiErg · Machine"
#,KM,MINS
1,3,13:06
"2. Walking Lunges · Barbell · 10 reps"
#,KG,REPS
1,25,80
2,25,80
"3. Cycling on Stationary Bike · Machine"
#,KM,MINS
1,10,21:21

"Day 2 · Day 1 · Week 20 · Hyrox Training · Deload","2024-10-15 5:10 pm","42 min"
"1. Pull-Ups with Wide Overhand Grip · Bodyweight · 10 reps"
#,KG,REPS
1,+0,15
2,+0,9
3,+0,8
"2. Bent-Over Rows · Smith machine · 10 reps"
#,KG,REPS
1,54,10
2,54,10
3,54,8
"3. Preacher Curls · EZ bar · 10 reps"
#,KG,REPS
1,35,11
2,35,7
3,32.5,8
"4. Rowing Machine · Machine · 4 min"
#,KM,MINS
1,2,7:55

"Day 1 · Day 2 · Week 20 · Hyrox Training · Deload","2024-10-14 4:32 pm","1:15 hr"
"1. Chest Press · Machine · 6 reps"
#,KG,REPS
1,90,5
2,80,8
3,80,6
"2. Standing Shoulder Press · Barbell · 10 reps"
#,KG,REPS
1,45,7
2,45,6
3,45,4
"3. Triceps Pushdowns · Cable · 10 reps · Superset 1"
#,KG,REPS
1,32.5,9
2,32.5,9
3,32.5,9
"4. Lean Away Lateral Raises · Cable · 10 reps · Superset 2"
#,KG,REPS
1,7.5,8
2,7.5,7
3,7.5,8
"5. Burpees · Bodyweight · 10 reps · Superset 1"
#,REPS,MINS
1,10,1
2,10,1
3,10,1
"6. Wall Balls · Misc · 10 reps · Superset 2"
#,KG,REPS
1,6,20
2,6,20
3,6,20
"7. Running on Treadmill · Machine · 20 min"
#,KM,MINS
1,2.8,13:30

"Day 5 · Day 4 · Week 19 · Hyrox Training · Deload","2024-10-12 8:41 am","1:34 hr"
"1. Pull-Ups with Wide Overhand Grip · Bodyweight · 10 reps"
#,KG,REPS
1,+0,15
2,+0,9
3,+0,7
"2. Rows with Close Grip · Cable · 10 reps"
#,KG,REPS
1,90,6
2,80,7
3,80,6
"3. Behind-the-Back Curls · Cable · 10 reps"
#,KG,REPS
1,12.5,7
2,12.5,7
3,12.5,6
4,10,9
"4. Crunches · Bodyweight · 10 reps · Superset 1"
#,KG,REPS
1,+0,20
2,+0,15
3,+0,15
"5. Leg Raises · Bodyweight · 10 reps · Superset 2"
#,KG,REPS
1,+0,15
2,+0,16
3,+0,15
"6. Russian Twists With Kettlebell · Kettlebells · 10 reps · Superset 3"
#,KG,REPS
1,16,10
2,16,10
3,16,10
"7. Side Bends · Kettlebells · 10 reps · Superset 4"
#,KG,REPS
1,24,12
2,24,14
3,24,15
"8. Running on Treadmill · Machine · 3 cm"
#,KM,MINS
1,5,22

"Day 3 · Day 3 · Week 19 · Hyrox Training · Deload","2024-10-10 4:40 pm","43 min"
"1. SkiErg · Machine"
#,KM,MINS
1,1,4:15
2,0.5,1:58
3,0.5,2:08
4,0.5,2:08
5,0.5,2:07
"2. Walking Lunges · Barbell · 10 reps"
#,KG,REPS
1,25,50
2,25,50
3,25,50
"3. Sled pull · Misc · Superset 1"
#,KG,MTRS
1,157,14
2,157,14
"4. Sled Push · Misc · 40 cm · Superset 2"
#,KG,MTRS
1,157,14
2,157,14

"Day 1 · Day 2 · Week 19 · Hyrox Training · Deload","2024-10-09 4:42 pm","53 min"
"1. Bench Press · Barbell · 6 reps"
#,KG,REPS
1,100,2
2,80,8
3,80,6
"2. Standing Shoulder Press · Barbell · 10 reps"
#,KG,REPS
1,50,2
2,45,7
3,45,5
"3. Dips · Bodyweight · 10 reps"
#,KG,REPS
1,+0,30
2,+0,18
3,+0,18
"4. Lean Away Lateral Raises · Cable · 10 reps · Superset 1"
#,KG,REPS
1,7.5,7
2,7.5,8
3,7.5,8
"5. Triceps Pushdowns with Rope · Cable · 10 reps · Superset 2"
#,KG,REPS
1,21.25,10
2,21.25,8
3,21.25,7

